cahier,piece,title,listed_author,fr_prose,fr_ratio,en_prose,en_ratio,flags
s05-c14,gaston-paris,Gaston Paris,joseph-bedier,783,0.91,20,0.74,
s05-c15,jean-des-brebis,Jean des Brebis,emile-moselly,4785,0.93,68,0.81,
s05-c16,le-congres-de-dresde-edition-gaston-raphael,"Le congrès de Dresde, édition GASTON RAPHAEL",charles-peguy,6323,0.93,92,0.75,
s05-c17,a-chaque-jour,A chaque jour,francois-porche,93,0.71,441,0.90,
s05-c18,prologue-d-une-revolution,Prologue d'une Révolution,louis-menard,8218,0.91,84,0.71,
s05-c19,les-hobereaux,Les hobereaux,jerome-et-jean-tharaud,992,0.81,489,0.87,
s05-c20,congres-des-u-p-mai-1904,Congrès des U.P. mai 1904,charles-peguy,3230,0.85,105,0.54,
s06-c01,texte-sans-commentaires-catalogue-analytique-sommaire,Texte sans commentaires. Catalogue analytique sommaire,charles-peguy,3926,0.91,43,0.80,
s06-c02,l-egalite-devant-l-instruction,L'égalité devant l'instruction,alexis-bertrand,7334,0.92,71,0.75,
s06-c03,zangwill,Zangwill,charles-peguy,14499,0.92,478,0.89,
s06-c03,chad-gadya,Chad Gadya!,israel-zangwill,0,0.00,64,0.82,EMPTY_FR
s06-c04,un-essai-de-monopole,Un essai de monopole,charles-peguy,4607,0.91,19,0.95,
s06-c04,l-enseignement-primaire-a-madagascar,L'enseignement primaire à Madagascar,raoul-allier,0,0.00,20,0.69,EMPTY_FR
s06-c05,le-testament-politique-de-waldeck-rousseau,Le testament politique de Waldeck-Rousseau,charles-peguy,8146,0.91,9,0.90,
s06-c06,juifs-russes,Juifs russes,georges-delahache,437,0.84,481,0.75,COM_PLACEHOLDER
s06-c07,les-primitifs-francais-contes-de-la-vierge,"Les primitifs français, contes de la Vierge",jerome-et-jean-tharaud,1890,0.82,30,0.79,
s06-c08,jean-christophe,Jean-Christophe. III. L'adolescent,romain-rolland,5177,0.92,276,0.82,
s06-c09,la-delation-aux-droits-de-l-homme,La délation aux Droits de l'Homme,charles-peguy,4160,0.92,7,0.70,
s06-c10,yves-madec-professeur-de-college,Yves Madec professeur de collège,brenn,1046,0.91,8,0.67,
s06-c11,la-tragedie-d-elektre-et-oreste,La tragédie d'Elektre et Oreste,andre-suares,10077,0.86,23,0.77,
s06-c12,spartacus,Spartacus,urbain-gohier,1018,0.92,12,0.80,
s06-c13,l-eglise-et-l-etat,L'Eglise et l'Etat,leon-tolstoi,1037,0.91,1,0.50,
s06-c13,les-evenements-actuels-en-russie,les événements actuels en Russie,leon-tolstoi,0,0.00,7,0.70,EMPTY_FR
s06-c14,la-separation-des-eglises-et-de-l-etat,La séparation des Eglises et de l'Etat,raoul-allier,14537,0.93,5,0.45,LOW_PROSE_EN
s06-c15,la-tragedie-de-tristan-et-iseut,La tragédie de Tristan et Iseut,eddy-marix,2523,0.87,1,0.33,LOW_PROSE_EN
s06-c16,la-vie-et-les-propheties-du-comte-de-gobineau,La vie et les prophéties du comte de Gobineau,robert-dreyfus,6977,0.93,6,0.60,
s06-c17,catholicisme-et-critique,Catholicisme et critique,paul-desjardins,2818,0.92,9,0.75,
s07-c01,petit-index-alphabetique,Petit index alphabétique,charles-peguy,1218,0.86,22,0.65,
s07-c02,la-paix-et-la-guerre,La paix et la guerre,charles-richet,1756,0.93,22,0.85,
s07-c03,notre-patrie,Notre patrie,charles-peguy,1998,0.92,4,0.67,
s07-c04,la-separation-au-senat,La séparation au Sénat,raoul-allier,7537,0.93,23,0.77,
s07-c05,courrier-de-russie,Courrier de Russie,charles-peguy,7131,0.93,12,0.92,
s07-c05,le-22-janvier,Le 22 janvier,etienne-avenard,0,0.00,22,0.88,EMPTY_FR
s07-c06,le-congo-leopoldien,Le Congo léopoldien,morel-et-pierre-mille,4625,0.91,29,0.97,
s07-c07,les-suppliants-paralleles,Les suppliants parallèles,charles-peguy,2732,0.92,21,0.84,
s07-c07,les-suppliants,Les suppliants,francois-porche,0,0.00,0,0.00,EMPTY_FR|EMPTY_EN
s07-c08,louis-de-gonzague,Louis de Gonzague,charles-peguy,779,0.86,19,0.83,
s07-c08,et-vous-riez,Et vous riez,andre-spire,0,0.00,1,0.50,EMPTY_FR
s07-c09,de-la-situation-faite-a-l-enseignement-superieur-i,De la situation faite à l'enseignement supérieur. I,ferdinand-lot,2447,0.87,33,0.61,
s07-c10,les-freres-ennemis,Les frères ennemis,jerome-et-jean-tharaud,2014,0.90,38,0.88,
s07-c11,de-la-situation-faite-a-l-enseignement-superieur,De la situation faite à l'enseignement supérieur,ferdinand-lot,3222,0.90,109,0.87,
s07-c12,le-congo-francais,Le Congo français,felicien-challaye,2820,0.90,44,0.94,
s07-c13,de-la-situation-faite-a-la-defense-militaire,De la situation faite à la défense militaire,georges-picquart,2411,0.90,30,0.88,
s07-c14,les-vaincus-savonarole,Les Vaincus. Savonarole,gabriel-trarieux,2653,0.82,14,0.41,LOW_PROSE_EN
s07-c15,les-cahiers-d-arnold-scherer,Les cahiers d'Arnold Scherer,charles-peguy,3010,0.91,16,0.73,
s07-c16,les-deux-congos,Les deux Congos,pierre-mille,2238,0.91,7,0.88,
s07-c17,heureux-qui-comme-ulysse,Heureux qui comme Ulysse,jean-schlumberger,1647,0.83,38,0.67,
s07-c18,la-vie-de-michel-ange-i-la-lutte,La vie de Michel-Ange. I. La lutte,romain-rolland,2490,0.93,10,0.59,
s07-c19,les-retours-les-haleurs-le-soldat,"Les retours. Les haleurs, le soldat",emile-moselly,1323,0.90,48,0.87,
s08-c01,petit-index-alphabetique,Petit index alphabétique,charles-peguy,1388,0.84,36,0.80,
s08-c02,la-vie-de-michel-ange,La vie de Michel-Ange,romain-rolland,1462,0.92,120,0.90,
s08-c02,l-abdication,L'abdication,romain-rolland,0,0.00,0,0.00,EMPTY_FR|EMPTY_EN
s08-c03,de-la-situation-faite-a-l-histoire-et-a-la-sociologie,De la situation faite à l'histoire et à la sociologie,charles-peguy,1616,0.93,43,0.78,
s08-c04,jean-christophe,Jean-Christophe. IV. La révolte. 1. Sables mouvants,romain-rolland,3315,0.92,14,0.64,
s08-c05,de-la-situation-faite-au-parti-intellectuel,De la situation faite au parti intellectuel,charles-peguy,1894,0.94,14,0.82,
s08-c06,jean-christophe,Jean-Christophe. IV. La révolte. 2. L'enlisement,romain-rolland,1397,0.90,1,0.17,LOW_PROSE_EN
s08-c07,untitled,Les sonnets de Shakespeare. I.,marie-garnier,1046,0.84,81,0.72,
s08-c07,les-sonnets-de-shakespeare-i,Les sonnets de Shakespeare. I,marie-garnier,0,0.00,0,0.00,EMPTY_FR|EMPTY_EN
s08-c08,le-livre-des-livres,Le livre des livres,jean-bonnerot,775,0.85,57,0.85,
s08-c09,jean-christophe,Jean-Christophe. IV. La révolte. 3. La délivrance,romain-rolland,171,0.80,13,0.72,
s08-c10,polonais-et-prussiens-i,Polonais et Prussiens. I,edmond-bernus,6144,0.92,17,0.74,
s08-c11,bar-cochebas-notre-honneur,"Bar-Cochebas, notre honneur",jerome-et-jean-tharaud,1649,0.93,32,0.80,
s08-c12,polonais-et-prussiens,Polonais et Prussiens,edmond-bernus,1516,0.89,1,0.25,LOW_PROSE_EN
s08-c13,swift,Swift,henriette-cordelet,1200,0.91,46,0.71,
